id_cliente,idade,cidade,estado,renda,quantidade_compras,valor_total_compras
1,19,Rio de Janeiro,RJ,11433.4,8,870.07
2,23,Brasilia,DF,9348.8,2,86.76
3,56,Brasilia,DF,1566.2,7,1623.17
4,32,Fortaleza,CE,7399.08,9,2221.87
5,62,Belo Horizonte,MG,7032.08,9,845.55
6,24,Salvador,BA,2479.89,4,543.37
7,69,Porto Alegre,RS,1799.62,15,2808.17
8,23,Fortaleza,CE,8818.16,20,5413.42
9,63,Curitiba,PR,2159.86,8,1994.66
10,73,Curitiba,PR,2593.82,9,1503.58
11,41,Belo Horizonte,MG,6102.74,9,2047.45
12,56,Rio de Janeiro,RJ,9962.7,18,4147.41
13,35,Fortaleza,CE,14855.42,18,1870.7
14,32,Sao Paulo,SP,12540.88,11,1609.82
15,74,Manaus,AM,11107.22,7,1486.58
16,27,Recife,PE,4855.35,8,1893.88
17,45,Manaus,AM,13589.96,13,1876.22
18,50,Belo Horizonte,MG,8010.52,2,495.84
19,68,Belo Horizonte,MG,10590.64,20,1305.8
20,51,Recife,PE,4669.51,18,4724.66
21,61,Rio de Janeiro,RJ,13410.08,9,2163.36
22,45,Porto Alegre,RS,3382.58,1,326.04
23,50,Porto Alegre,RS,11715.08,17,4765.72
24,71,Porto Alegre,RS,10017.5,20,1981.95
25,52,Belo Horizonte,MG,14358.3,17,4763.49
26,19,Recife,PE,2743.77,12,3269.33
27,33,Porto Alegre,RS,1999.37,19,5406.58
28,70,Recife,PE,2155.13,18,4309.09
29,53,Recife,PE,3478.75,17,4550.15
30,52,Curitiba,PR,11622.66,7,1587.56
31,46,Salvador,BA,13614.67,15,1176.24
32,19,Salvador,BA,9318.66,8,1527.6
33,32,Sao Paulo,SP,2130.12,2,486.9
34,35,Curitiba,PR,10431.89,7,1315.99
35,54,Manaus,AM,7722.86,16,3999.03
36,60,Rio de Janeiro,RJ,7148.51,14,2175.24
37,61,Sao Paulo,SP,10217.69,4,283.43
38,33,Rio de Janeiro,RJ,3843.94,18,2910.95
39,47,Porto Alegre,RS,4647.33,3,518.48
40,24,Brasilia,DF,1898.12,18,4709.02
41,28,Curitiba,PR,6808.51,16,1645.09
42,28,Sao Paulo,SP,6429.83,13,1540.32
43,36,Recife,PE,7037.5,18,3877.09
44,36,Curitiba,PR,4204.27,2,393.81
45,21,Salvador,BA,1891.96,16,2846.67
46,21,Belo Horizonte,MG,14458.75,3,745.36
47,61,Rio de Janeiro,RJ,13093.1,13,1078.66
48,55,Curitiba,PR,9404.36,20,1425.65
49,51,Manaus,AM,5565.9,9,931.2
50,34,Curitiba,PR,6661.84,10,1685.96
51,18,Rio de Janeiro,RJ,7524.34,19,5638.78
52,50,Curitiba,PR,4859.77,12,3280.52
53,36,Salvador,BA,3376.91,18,4077.1
54,18,Brasilia,DF,10416.51,18,2263.54
55,34,Belo Horizonte,MG,2792.92,4,907.96
56,56,Porto Alegre,RS,4106.69,11,1123.32
57,50,Porto Alegre,RS,7941.74,2,138.51
58,20,Porto Alegre,RS,1248.93,5,1022.59
59,53,Recife,PE,10938.21,18,901.04
60,52,Belo Horizonte,MG,1697.19,12,2312.34
61,20,Belo Horizonte,MG,5453.97,2,520.47
62,60,Curitiba,PR,2618.55,18,4869.24
63,65,Manaus,AM,3332.84,8,2176.83
64,74,Belo Horizonte,MG,6889.66,6,1388.07
65,69,Fortaleza,CE,10444.72,8,962.35
66,42,Rio de Janeiro,RJ,13235.9,16,1721.39
67,40,Recife,PE,5411.63,8,861.85
68,39,Fortaleza,CE,5044.72,3,853.08
69,43,Brasilia,DF,10577.35,18,2342.93
70,29,Porto Alegre,RS,9212.14,9,545.74
71,64,Salvador,BA,12052.71,14,2822.87
72,75,Fortaleza,CE,9156.92,9,543.48
73,69,Brasilia,DF,8630.64,7,944.38
74,57,Salvador,BA,5532.04,4,899.79
75,60,Porto Alegre,RS,6835.82,13,2921.37
76,44,Curitiba,PR,10376.03,13,2891.56
77,54,Manaus,AM,5353.11,18,4632.15
78,45,Curitiba,PR,12043.47,20,4270.03
79,61,Recife,PE,4149.08,16,4020.92
80,60,Belo Horizonte,MG,2370.18,17,3683.3
81,70,Rio de Janeiro,RJ,14337.6,8,1718.06
82,27,Curitiba,PR,1537.07,8,2379.0
83,47,Rio de Janeiro,RJ,6919.29,19,1893.2
84,43,Recife,PE,4566.99,1,309.21
85,67,Rio de Janeiro,RJ,7067.02,6,1525.76
86,21,Recife,PE,8892.2,4,686.6
87,53,Brasilia,DF,9417.24,15,3069.37
88,45,Brasilia,DF,12661.85,18,2872.53
89,46,Recife,PE,4776.84,8,2057.46
90,49,Brasilia,DF,9849.13,9,1461.07
91,35,Curitiba,PR,5834.7,18,1227.68
92,62,Fortaleza,CE,3308.71,7,453.16
93,47,Brasilia,DF,6937.68,7,1796.51
94,62,Manaus,AM,1469.54,19,2707.4
95,37,Salvador,BA,11597.96,14,2607.24
96,75,Manaus,AM,4243.43,8,944.43
97,39,Fortaleza,CE,10430.46,13,3037.64
98,57,Belo Horizonte,MG,8570.91,13,2589.95
99,59,Rio de Janeiro,RJ,7114.86,15,1407.5
100,31,Salvador,BA,7474.85,11,2631.29
