id_cliente,estado_correto
1,CE
2,RJ
3,RJ
4,PR
5,MG
6,DF
7,DF
8,PE
9,MG
10,MG
11,PE
12,MG
13,CE
14,CE
15,MG
16,CE
17,CE
18,RS
19,SP
20,CE
21,SP
22,RS
23,BA
24,PE
25,DF
26,MG
27,MG
28,PR
29,RS
30,CE
31,SP
32,MG
33,PE
34,RS
35,RJ
36,AM
37,CE
38,PE
39,BA
40,MG
41,RJ
42,PE
43,RS
44,MG
45,PR
46,PR
47,BA
48,DF
49,MG
50,MG
51,MG
52,RS
53,SP
54,AM
55,MG
56,AM
57,RS
58,RJ
59,BA
60,DF
61,CE
62,SP
63,CE
64,RS
65,SP
66,MG
67,RJ
68,PR
69,MG
70,MG
71,PR
72,DF
73,BA
74,CE
75,MG
76,PR
77,RS
78,PR
79,BA
80,SP
81,RJ
82,BA
83,RS
84,PR
85,RS
86,PE
87,RJ
88,CE
89,RJ
90,PE
91,SP
92,CE
93,RJ
94,SP
95,MG
96,CE
97,RS
98,SP
99,MG
100,RS
