id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
1,28,8,1,2026-11-09,0.0
2,32,6,1,2026-04-24,734.7
3,27,3,,2026-01-03,2908.8
4,1,8,5,2026-09-27,0.0
5,6,10,2,2026-04-04,838.82
6,3,9,3,2026-11-25,1893.87
7,23,3,1,2026-06-22,727.2
8,32,3,5,2026-04-16,3636.0
9,9,10,5,2026-05-03,2097.05
10,27,3,2,2026-10-10,1454.4
11,27,7,2,2026-09-26,184.44
12,13,7,1,2026-02-13,92.22
13,5,1,3,2026-11-12,1947.75
14,2,1,5,2026-08-11,3246.25
15,20,8,3,2026-02-16,0.0
16,30,10,5,2026-03-05,2097.05
17,14,7,5,2026-06-15,461.1
18,15,2,5,2026-07-02,2264.5
19,13,3,1,2026-11-18,727.2
20,4,8,2,2026-08-23,0.0
21,2,3,5,2026-04-26,3636.0
22,9,3,2,2026-07-09,1454.4
23,28,9,4,2026-02-13,2525.16
24,20,3,3,2026-03-09,2181.6
25,30,8,4,2026-05-15,0.0
26,12,6,5,2026-08-15,4251.41
27,8,9,,2026-05-27,3156.45
28,7,4,2,2026-01-03,1335.3
29,30,6,4,2026-09-26,2938.8
30,12,1,3,2026-03-12,1947.75
31,14,2,5,2026-12-09,2264.5
32,14,10,3,2026-10-09,1258.23
33,9,2,3,2026-02-14,1358.7
34,11,2,1,2026-06-24,452.9
35,12,2,,2026-06-09,2264.5
36,5,5,3,2026-03-09,790.74
37,17,2,1,2026-07-28,452.9
38,17,7,1,2026-01-04,92.22
39,16,1,-1,2026-02-04,1947.75
40,23,6,4,2026-10-21,2938.8
41,3,7,3,2026-10-07,276.66
42,30,7,,2026-11-12,92.22
43,17,7,3,2026-06-02,276.66
44,28,1,3,2026-12-11,1947.75
45,19,2,3,2026-07-11,1358.7
46,2,9,3,2026-04-18,1893.87
47,4,2,2,2026-10-04,905.8
48,8,1,2,2026-09-12,1298.5
49,20,1,4,2026-10-05,2597.0
50,23,7,4,2026-07-08,368.88
51,27,4,2,2026-03-18,1335.3
52,2,9,5,2026-07-09,3156.45
53,10,4,1,2026-01-09,667.65
54,31,7,3,2026-06-05,276.66
55,6,3,5,2026-01-21,3636.0
56,17,6,5,2026-12-11,3673.5
57,4,1,2,2026-08-02,1298.5
58,15,9,2,2026-12-28,1262.58
59,26,6,2,2026-09-27,1469.4
60,18,6,2,2026-06-12,1469.4
61,30,8,5,2026-08-26,0.0
62,20,4,2,2026-11-14,1335.3
63,10,8,-5,2026-06-27,0.0
64,27,1,2,2026-02-10,1298.5
65,24,9,3,2026-03-23,1893.87
66,7,1,5,2026-04-28,3246.25
67,20,10,1,2026-07-13,419.41
68,11,9,1,2026-02-05,631.29
69,25,6,5,2026-05-10,3673.5
70,3,10,-3,2026-03-10,838.82
71,19,9,3,2026-06-05,1893.87
72,25,4,1,2026-10-21,667.65
73,31,7,3,2026-09-06,276.66
74,2,3,3,2026-09-05,2181.6
75,11,1,1,2026-09-22,649.25
76,1,6,1,2026-06-10,1720.86
77,14,9,2,2026-10-20,1262.58
78,16,3,1,2026-06-16,727.2
79,7,2,4,2026-05-20,2696.07
80,20,2,3,2026-08-16,1358.7
81,8,9,5,2026-04-27,3156.45
82,23,8,5,2026-06-03,0.0
83,5,2,4,2026-05-09,1811.6
84,15,3,3,2026-07-17,2181.6
85,22,6,4,2026-07-11,2938.8
86,12,4,4,2026-04-28,2670.6
87,23,6,4,2026-10-13,2938.8
88,14,3,4,2026-12-19,2908.8
89,9,7,3,2026-06-27,276.66
90,8,6,3,2026-08-09,2204.1
91,10,9,3,2026-04-11,1893.87
92,10,9,1,2026-05-10,631.29
93,30,7,4,2026-01-18,368.88
94,22,7,3,2026-02-22,276.66
95,32,9,5,2026-04-14,3156.45
96,23,6,1,2026-07-24,1725.99
97,12,1,3,2026-09-23,1947.75
98,17,3,3,2026-10-21,2181.6
99,27,8,4,2026-06-01,0.0
100,3,4,,2026-11-28,667.65
101,7,1,5,2026-04-28,3246.25
102,30,6,4,2026-09-26,2938.8
103,22,6,4,2026-07-11,2938.8
104,22,7,3,2026-02-22,276.66
